DATE,TICKER,PRC,SHROUT,CFACPR,SPRTRN
8/13/20,PG,135.78,2479700,1,-0.002047
8/14/20,PG,135.10001,2479700,1,-0.000172
8/17/20,PG,135.5,2479700,1,0.00271
8/18/20,PG,136.50999,2479700,1,0.002303
8/19/20,PG,135.77,2479700,1,-0.004404
8/20/20,PG,136.85001,2479700,1,0.003159
8/21/20,PG,137.44,2479700,1,0.003441
8/24/20,PG,138.50999,2479700,1,0.010044
8/25/20,PG,139.06,2479700,1,0.003596
8/26/20,PG,138.39,2479700,1,0.010196
8/27/20,PG,138.21001,2479700,1,0.001673
8/28/20,PG,138.77,2479700,1,0.006733
8/31/20,PG,138.33,2486087,1,-0.002195
9/1/20,PG,138.17999,2486087,1,0.007525
9/2/20,PG,140.50999,2486087,1,0.015366
9/3/20,PG,138.25999,2486087,1,-0.035126
9/4/20,PG,137.96001,2486087,1,-0.008133
9/8/20,PG,135.94,2486087,1,-0.027756
9/9/20,PG,138.14999,2486087,1,0.020145
9/10/20,PG,136.7,2486087,1,-0.017585
9/11/20,PG,138.14,2486087,1,0.000533
9/14/20,PG,138.63,2486087,1,0.012742
9/15/20,PG,138.63,2486087,1,0.005219
9/16/20,PG,137.7,2486087,1,-0.004619
9/17/20,PG,137.52,2486087,1,-0.008412
9/18/20,PG,137.37,2486087,1,-0.011183
9/21/20,PG,136.71001,2486087,1,-0.011571
9/22/20,PG,137.96001,2486087,1,0.010518
9/23/20,PG,136.31,2486087,1,-0.023721
9/24/20,PG,136.92,2486087,1,0.002987
9/25/20,PG,137.62,2486087,1,0.015977
9/28/20,PG,138.00999,2486087,1,0.016111
9/29/20,PG,137.25999,2486087,1,-0.004813
9/30/20,PG,138.99001,2489621,1,0.008254
10/1/20,PG,139.24001,2489621,1,0.005293
10/2/20,PG,138.12,2489621,1,-0.009572
10/5/20,PG,139.39,2489621,1,0.017976
10/6/20,PG,139.61,2489621,1,-0.013988
10/7/20,PG,140.7,2489621,1,0.017406
10/8/20,PG,141.64999,2489621,1,0.008007
10/9/20,PG,142.92,2489621,1,0.008791
10/12/20,PG,144.49001,2489621,1,0.016419
10/13/20,PG,144.21001,2489621,1,-0.006307
10/14/20,PG,144.03999,2489621,1,-0.006623
10/15/20,PG,143.83,2489621,1,-0.001528
10/16/20,PG,144.39,2489621,1,0.000135
10/19/20,PG,141.91,2489621,1,-0.01633
10/20/20,PG,142.48,2489621,1,0.004727
10/21/20,PG,143.25,2489621,1,-0.002196
10/22/20,PG,141.45,2489621,1,0.005219
10/23/20,PG,142.38,2489621,1,0.003446
10/26/20,PG,141.3,2489621,1,-0.01859
10/27/20,PG,142.36,2489621,1,-0.003026
10/28/20,PG,137.66,2489621,1,-0.035288
10/29/20,PG,137.57001,2489621,1,0.011947
10/30/20,PG,137.10001,2479606,1,-0.01213
11/2/20,PG,138.5,2479606,1,0.012318
11/3/20,PG,141.22,2479606,1,0.017799
11/4/20,PG,140.64,2479606,1,0.022047
11/5/20,PG,142.38,2479606,1,0.01946
11/6/20,PG,143.23,2479606,1,-0.000288
11/9/20,PG,137.99001,2479606,1,0.0117
11/10/20,PG,140.25999,2479606,1,-0.0014
11/11/20,PG,142.07001,2479606,1,0.007652
11/12/20,PG,142.14999,2479606,1,-0.009979
11/13/20,PG,144.28,2479606,1,0.01361
11/16/20,PG,142.42999,2479606,1,0.011648
11/17/20,PG,141.88,2479606,1,-0.004792
11/18/20,PG,139.7,2479606,1,-0.011564
11/19/20,PG,139.53,2479606,1,0.003946
11/20/20,PG,139.3,2479606,1,-0.006793
11/23/20,PG,138.75999,2479606,1,0.005636
11/24/20,PG,138.31,2479606,1,0.016162
11/25/20,PG,138.67999,2479606,1,-0.001584
11/27/20,PG,138.61,2479606,1,0.002397
11/30/20,PG,138.87,2479606,1,-0.004595
12/1/20,PG,139.37,2479606,1,0.011271
12/2/20,PG,138.36,2479606,1,0.001791
12/3/20,PG,137.34,2479606,1,-0.000624
12/4/20,PG,137.47,2479606,1,0.008836
12/7/20,PG,137.67999,2479606,1,-0.001936
12/8/20,PG,138.05,2479606,1,0.002787
12/9/20,PG,136.41,2479606,1,-0.007949
12/10/20,PG,135.50999,2479606,1,-0.001285
12/11/20,PG,136.50999,2479606,1,-0.001265
12/14/20,PG,135.85001,2479606,1,-0.004359
12/15/20,PG,136.64999,2479606,1,0.012921
12/16/20,PG,137.27,2479606,1,0.001773
12/17/20,PG,138.25,2479606,1,0.005758
12/18/20,PG,139.03999,2479606,1,-0.003511
12/21/20,PG,137.52,2479606,1,-0.003906
12/22/20,PG,136.55,2479606,1,-0.002073
12/23/20,PG,136.34,2479606,1,0.000746
12/24/20,PG,137.72,2479606,1,0.003537
12/28/20,PG,138.67999,2479606,1,0.008723
12/29/20,PG,138.42,2479606,1,-0.002227
12/30/20,PG,137.77,2479606,1,0.001342
12/31/20,PG,139.14,2479606,1,0.006439
1/4/21,PG,137.82001,2479606,1,-0.014755
1/5/21,PG,138.7,2479606,1,0.007083
1/6/21,PG,140.16,2479606,1,0.00571
1/7/21,PG,138.85001,2479606,1,0.014847
1/8/21,PG,138.78999,2479606,1,0.005492
1/11/21,PG,137.85001,2479606,1,-0.006555
1/12/21,PG,137.05,2479606,1,0.000416
1/13/21,PG,137.25999,2479606,1,0.002276
1/14/21,PG,135.8,2479606,1,-0.003753
1/15/21,PG,134.78,2479606,1,-0.00719
1/19/21,PG,133.60001,2479606,1,0.008136
1/20/21,PG,131.92999,2479606,1,0.013936
1/21/21,PG,131.00999,2479606,1,0.000317
1/22/21,PG,130,2479606,1,-0.003011
1/25/21,PG,132.24001,2479606,1,0.003616
1/26/21,PG,133.09,2479606,1,-0.001489
1/27/21,PG,128.38,2479606,1,-0.025678
1/28/21,PG,130.36,2479606,1,0.009761
1/29/21,PG,128.21001,2462476,1,-0.019312
2/1/21,PG,128.97,2462476,1,0.016052
2/2/21,PG,128.78999,2462476,1,0.013898
2/3/21,PG,128.95,2462476,1,0.001009
2/4/21,PG,129.03,2462476,1,0.010853
2/5/21,PG,129.57001,2462476,1,0.003897
2/8/21,PG,129.17,2462476,1,0.007399
2/9/21,PG,128.67,2462476,1,-0.001113
2/10/21,PG,128.22,2462476,1,-0.000345
2/11/21,PG,128.33,2462476,1,0.001662
2/12/21,PG,127.62,2462476,1,0.004711
2/16/21,PG,127.92,2462476,1,-0.000569
2/17/21,PG,128.46001,2462476,1,-0.00032
2/18/21,PG,129.53,2462476,1,-0.004416
2/19/21,PG,127.12,2462476,1,-0.001855
2/22/21,PG,126.58,2462476,1,-0.007733
2/23/21,PG,127.52,2462476,1,0.001256
2/24/21,PG,127.66,2462476,1,0.011352
2/25/21,PG,126.58,2462476,1,-0.024479
2/26/21,PG,123.53,2462476,1,-0.00475
3/1/21,PG,124.29,2462476,1,0.023791
3/2/21,PG,123.9,2462476,1,-0.008081
3/3/21,PG,123.16,2462476,1,-0.013066
3/4/21,PG,122.15,2462476,1,-0.013417
3/5/21,PG,125.98,2462476,1,0.019496
3/8/21,PG,127.31,2462476,1,-0.005359
3/9/21,PG,126.18,2462476,1,0.014155
3/10/21,PG,127.34,2462476,1,0.00603
3/11/21,PG,126.91,2462476,1,0.010395
3/12/21,PG,128.14,2462476,1,0.001015
3/15/21,PG,128.56,2462476,1,0.006492
3/16/21,PG,128.94,2462476,1,-0.00157
3/17/21,PG,128.42,2462476,1,0.002879
3/18/21,PG,128.7,2462476,1,-0.014761
3/19/21,PG,128.00999,2462476,1,-0.000603
3/22/21,PG,130.17999,2462476,1,0.007025
3/23/21,PG,132.60001,2462476,1,-0.007631
3/24/21,PG,132.56,2462476,1,-0.005467
3/25/21,PG,133.48,2462476,1,0.00524
3/26/21,PG,135.45,2462476,1,0.016631
3/29/21,PG,137.57001,2462476,1,-0.000868
3/30/21,PG,135.45,2462476,1,-0.003158
3/31/21,PG,135.42999,2462476,1,0.003623
4/1/21,PG,134.28,2462476,1,0.011825
4/5/21,PG,136.45,2462476,1,0.014438
4/6/21,PG,136.5,2462476,1,-0.000974
4/7/21,PG,136.74001,2462476,1,0.001475
4/8/21,PG,137.25999,2462476,1,0.004221
4/9/21,PG,136.37,2462476,1,0.00772
4/12/21,PG,136.92,2462476,1,-0.000196
4/13/21,PG,135.11,2462476,1,0.003295
4/14/21,PG,135.60001,2462476,1,-0.004088
4/15/21,PG,137.24001,2462476,1,0.011094
4/16/21,PG,137.25,2462476,1,0.003609
4/19/21,PG,136.61,2462476,1,-0.005306
4/20/21,PG,137.75,2462476,1,-0.006802
4/21/21,PG,136.85001,2462476,1,0.009306
4/22/21,PG,134.63,2462476,1,-0.009211
4/23/21,PG,133.94,2462476,1,0.010929
4/26/21,PG,131.25999,2462476,1,0.001782
4/27/21,PG,131.17999,2462476,1,-0.000215
4/28/21,PG,131.39999,2462476,1,-0.000846
4/29/21,PG,132.50999,2462476,1,0.006763
4/30/21,PG,133.42,2448200,1,-0.007195
5/3/21,PG,135,2448200,1,0.002748
5/4/21,PG,134.53999,2448200,1,-0.006678
5/5/21,PG,133.46001,2448200,1,0.000704
5/6/21,PG,135.14,2448200,1,0.008165
5/7/21,PG,135.14999,2448200,1,0.007373
5/10/21,PG,137.67,2448200,1,-0.010436
5/11/21,PG,136.99001,2448200,1,-0.008674
5/12/21,PG,135.53999,2448200,1,-0.021449
5/13/21,PG,137.72,2448200,1,0.012173
5/14/21,PG,138.00999,2448200,1,0.014918
5/17/21,PG,137.73,2448200,1,-0.00253
5/18/21,PG,136.32001,2448200,1,-0.008517
5/19/21,PG,136.60001,2448200,1,-0.002943
5/20/21,PG,138,2448200,1,0.010555
5/21/21,PG,138,2448200,1,-0.000784
5/24/21,PG,137.96001,2448200,1,0.009911
5/25/21,PG,138.42999,2448200,1,-0.002125
5/26/21,PG,138.12,2448200,1,0.001877
5/27/21,PG,134.98,2448200,1,0.001165
5/28/21,PG,134.85001,2448200,1,0.000769
6/1/21,PG,132.88,2448200,1,-0.000492
6/2/21,PG,133.46001,2448200,1,0.001447
6/3/21,PG,135.85001,2448200,1,-0.003629
6/4/21,PG,135.95,2448200,1,0.008834
6/7/21,PG,136.42,2448200,1,-0.000797
6/8/21,PG,134.84,2448200,1,0.000175
6/9/21,PG,134.78999,2448200,1,-0.001824
6/10/21,PG,135.78999,2448200,1,0.004652
6/11/21,PG,134.86,2448200,1,0.001948
6/14/21,PG,134.91,2448200,1,0.001815
6/15/21,PG,134.64999,2448200,1,-0.002012
6/16/21,PG,132.78,2448200,1,-0.00539
6/17/21,PG,133.99001,2448200,1,-0.000436
6/18/21,PG,132.03,2448200,1,-0.013125
6/21/21,PG,133.07001,2448200,1,0.014002
6/22/21,PG,133.12,2448200,1,0.005125
6/23/21,PG,132.92999,2448200,1,-0.001083
6/24/21,PG,133.02,2448200,1,0.005811
6/25/21,PG,134.92,2448200,1,0.003331
6/28/21,PG,135.32001,2448200,1,0.002315
6/29/21,PG,134.39999,2448200,1,0.000277
6/30/21,PG,134.92999,2448200,1,0.001328
7/1/21,PG,135.24001,2448200,1,0.005222
7/2/21,PG,135.89999,2448200,1,0.0075
7/6/21,PG,135.98,2448200,1,-0.002022
7/7/21,PG,137,2448200,1,0.003359
7/8/21,PG,136.98,2448200,1,-0.008561
7/9/21,PG,137.03,2448200,1,0.011278
7/12/21,PG,137.14,2448200,1,0.003451
7/13/21,PG,136.97,2448200,1,-0.003517
7/14/21,PG,137.98,2448200,1,0.001165
7/15/21,PG,139.16,2448200,1,-0.003262
7/16/21,PG,140.50999,2448200,1,-0.007539
7/19/21,PG,140.44,2448200,1,-0.01587
7/20/21,PG,139.69,2448200,1,0.015163
7/21/21,PG,139.2,2448200,1,0.008242
7/22/21,PG,137.8,2448200,1,0.002017
7/23/21,PG,139.78999,2448200,1,0.010145
7/26/21,PG,140.28,2448200,1,0.002382
7/27/21,PG,140.85001,2448200,1,-0.004712
7/28/21,PG,138.75999,2448200,1,-0.000186
7/29/21,PG,139.48,2448200,1,0.004206
7/30/21,PG,142.23,2448233,1,-0.005406
8/2/21,PG,141.88,2448233,1,-0.001843
8/3/21,PG,143.95,2448233,1,0.008203
8/4/21,PG,142.42999,2448233,1,-0.004632
8/5/21,PG,142.5,2448233,1,0.006005
8/6/21,PG,141.41,2448233,1,0.001675
8/9/21,PG,142.17999,2448233,1,-0.00094
8/10/21,PG,142.27,2448233,1,0.000993
8/11/21,PG,142.62,2448233,1,0.002468
8/12/21,PG,142.95,2448233,1,0.002952
8/13/21,PG,143.64,2448233,1,0.001607
8/16/21,PG,144.64,2448233,1,0.002621
8/17/21,PG,144.88,2448233,1,-0.007061
8/18/21,PG,143.3,2448233,1,-0.010748
8/19/21,PG,144.99001,2448233,1,0.001257
8/20/21,PG,145.09,2448233,1,0.008142
8/23/21,PG,144.35001,2448233,1,0.008524
8/24/21,PG,143.17999,2448233,1,0.001496
8/25/21,PG,142.67,2448233,1,0.00222
8/26/21,PG,142.42,2448233,1,-0.005825
8/27/21,PG,142.31,2448233,1,0.008808
8/30/21,PG,142.92999,2448233,1,0.004307
8/31/21,PG,142.39,2428316,1,-0.001349
9/1/21,PG,143.84,2428316,1,0.000312
9/2/21,PG,143.95,2428316,1,0.002843
9/3/21,PG,144.05,2428316,1,-0.000335
9/7/21,PG,143.50999,2428316,1,-0.003395
9/8/21,PG,144.60001,2428316,1,-0.001319
9/9/21,PG,143.99001,2428316,1,-0.004606
9/10/21,PG,144.13,2428316,1,-0.007723
9/13/21,PG,145.67999,2428316,1,0.002277
9/14/21,PG,145.42999,2428316,1,-0.005747
9/15/21,PG,145.12,2428316,1,0.008474
9/16/21,PG,144.11,2428316,1,-0.001551
9/17/21,PG,144.34,2428316,1,-0.009111
9/20/21,PG,142.89,2428316,1,-0.016977
9/21/21,PG,143.11,2428316,1,-0.000812
9/22/21,PG,143.60001,2428316,1,0.00952
9/23/21,PG,144.19,2428316,1,0.012135
9/24/21,PG,143.55,2428316,1,0.001461
9/27/21,PG,141.66,2428316,1,-0.002776
9/28/21,PG,140.59,2428316,1,-0.020364
9/29/21,PG,142.02,2428316,1,0.001569
9/30/21,PG,139.8,2428316,1,-0.01191
10/1/21,PG,139.58,2428316,1,0.011491
10/4/21,PG,138.78999,2428316,1,-0.012986
10/5/21,PG,139.33,2428316,1,0.010524
10/6/21,PG,141.19,2428316,1,0.004103
10/7/21,PG,142.32001,2428316,1,0.008298
10/8/21,PG,141.73,2428316,1,-0.001914
10/11/21,PG,142.32001,2428316,1,-0.006866
10/12/21,PG,142.11,2428316,1,-0.002417
10/13/21,PG,142.44,2428316,1,0.003023
10/14/21,PG,144.05,2428316,1,0.017063
10/15/21,PG,144.42,2428316,1,0.00746
10/18/21,PG,142.34,2428316,1,0.003375
10/19/21,PG,140.66,2428316,1,0.007393
10/20/21,PG,141.21001,2428316,1,0.003664
10/21/21,PG,139.33,2428316,1,0.002996
10/22/21,PG,140.83,2428316,1,-0.001073
10/25/21,PG,140.85001,2428316,1,0.004748
10/26/21,PG,142.85001,2428316,1,0.00182
10/27/21,PG,141.83,2428316,1,-0.005052
10/28/21,PG,142.67999,2428316,1,0.009829
10/29/21,PG,142.99001,2419948,1,0.001949
11/1/21,PG,142.64,2419948,1,0.0018
11/2/21,PG,144.06,2419948,1,0.00368
11/3/21,PG,145.05,2419948,1,0.006461
11/4/21,PG,145.32001,2419948,1,0.004182
11/5/21,PG,146.03999,2419948,1,0.003733
11/8/21,PG,144.95,2419948,1,0.000888
11/9/21,PG,145.39,2419948,1,-0.003499
11/10/21,PG,146.82001,2419948,1,-0.008226
11/11/21,PG,146.39999,2419948,1,0.000551
11/12/21,PG,146.56,2419948,1,0.007223
11/15/21,PG,147.39999,2419948,1,-0.000011
11/16/21,PG,147.19,2419948,1,0.003865
11/17/21,PG,147.10001,2419948,1,-0.002602
11/18/21,PG,147.12,2419948,1,0.003385
11/19/21,PG,146.82001,2419948,1,-0.001399
11/22/21,PG,147.8,2419948,1,-0.003197
11/23/21,PG,149.44,2419948,1,0.001657
11/24/21,PG,148.66,2419948,1,0.002294
11/26/21,PG,147.47,2419948,1,-0.022725
11/29/21,PG,149.02,2419948,1,0.0132
11/30/21,PG,144.58,2419948,1,-0.018961
12/1/21,PG,146.39999,2419948,1,-0.011815
12/2/21,PG,147.25999,2419948,1,0.014194
12/3/21,PG,149.88,2419948,1,-0.008449
12/6/21,PG,152.14999,2419948,1,0.011731
12/7/21,PG,151.75,2419948,1,0.020707
12/8/21,PG,152.42999,2419948,1,0.003085
12/9/21,PG,153.32001,2419948,1,-0.007181
12/10/21,PG,155.46001,2419948,1,0.009549
12/13/21,PG,157.67,2419948,1,-0.009136
12/14/21,PG,158.25,2419948,1,-0.007471
12/15/21,PG,158.86,2419948,1,0.016348
12/16/21,PG,161.11,2419948,1,-0.008743
12/17/21,PG,157.46001,2419948,1,-0.010288
12/20/21,PG,157.86,2419948,1,-0.011388
12/21/21,PG,157.75999,2419948,1,0.017778
