DATE,TICKER,COMNAM,PRIMEXCH,PRC,VOL,SHROUT,CFACPR,CFACSHR,SPRTRN
20181109,V,VISA INC,N,143.92999,8339828,1776658,1,1,-0.009199
20181112,V,VISA INC,N,139.72,11335081,1776658,1,1,-0.019701
20181113,V,VISA INC,N,139.72,6286973,1776658,1,1,-0.001482
20181114,V,VISA INC,N,139.49001,6613922,1776658,1,1,-0.007567
20181115,V,VISA INC,N,141.84,8564991,1776658,1,1,0.010594
20181116,V,VISA INC,N,140.17999,8628027,1776658,1,1,0.002223
20181119,V,VISA INC,N,134.75999,16252967,1776658,1,1,-0.016643
20181120,V,VISA INC,N,133.37,12720172,1776658,1,1,-0.018151
20181121,V,VISA INC,N,134.42,7416670,1776658,1,1,0.003043
20181123,V,VISA INC,N,132.87,3676032,1776658,1,1,-0.006555
20181126,V,VISA INC,N,135.94,9144597,1776658,1,1,0.015532
20181127,V,VISA INC,N,135.91,7877868,1776658,1,1,0.003262
20181128,V,VISA INC,N,141.38,11265076,1776658,1,1,0.022974
20181129,V,VISA INC,N,139.10001,8751920,1776658,1,1,-0.002198
20181130,V,VISA INC,N,141.71001,11362793,1759798,1,1,0.008186
20181203,V,VISA INC,N,145,11283568,1759798,1,1,0.010941
20181204,V,VISA INC,N,138.64,13988900,1759798,1,1,-0.032365
20181206,V,VISA INC,N,141.05,16391896,1759798,1,1,-0.001522
20181207,V,VISA INC,N,137.11,14007711,1759798,1,1,-0.02332
20181210,V,VISA INC,N,137.88,15744294,1759798,1,1,0.001762
20181211,V,VISA INC,N,136.81,12466320,1759798,1,1,-0.000356
20181212,V,VISA INC,N,137.8,10387198,1759798,1,1,0.005419
20181213,V,VISA INC,N,137.53999,8780914,1759798,1,1,-0.0002
20181214,V,VISA INC,N,135.09,9351186,1759798,1,1,-0.019087
20181217,V,VISA INC,N,131.39999,11796196,1759798,1,1,-0.020773
20181218,V,VISA INC,N,132.66,12762333,1759798,1,1,0.000086
20181219,V,VISA INC,N,131.25999,13819008,1759798,1,1,-0.015396
20181220,V,VISA INC,N,128.75999,18091669,1759798,1,1,-0.015772
20181221,V,VISA INC,N,124.26,25448609,1759798,1,1,-0.020588
20181224,V,VISA INC,N,121.73,8617681,1759798,1,1,-0.027112
20181226,V,VISA INC,N,130.23,13499510,1759798,1,1,0.049594
20181227,V,VISA INC,N,132.00999,10882979,1759798,1,1,0.008563
20181228,V,VISA INC,N,130.94,7381742,1759798,1,1,-0.001242
20181231,V,VISA INC,N,131.94,7976007,1757242,1,1,0.008492
20140102,UNH,UNITEDHEALTH GROUP INC,N,74.57,3066900,1006758,1,1,-0.008862
20140103,UNH,UNITEDHEALTH GROUP INC,N,75.1,3206400,1006758,1,1,-0.000333
20140106,UNH,UNITEDHEALTH GROUP INC,N,74.24,3425600,1006758,1,1,-0.002512
20140107,UNH,UNITEDHEALTH GROUP INC,N,76.51,6545500,1006758,1,1,0.006082
20140108,UNH,UNITEDHEALTH GROUP INC,N,75.62,6173200,1006758,1,1,-0.000212
20140109,UNH,UNITEDHEALTH GROUP INC,N,76.08,6291500,1006758,1,1,0.000348
20140110,UNH,UNITEDHEALTH GROUP INC,N,74.7,6640400,1006758,1,1,0.002307
20140113,UNH,UNITEDHEALTH GROUP INC,N,73.94,5248800,1006758,1,1,-0.012576
20140114,UNH,UNITEDHEALTH GROUP INC,N,74.02,5783900,1006758,1,1,0.010818
20140115,UNH,UNITEDHEALTH GROUP INC,N,74.84,7044100,1006758,1,1,0.005166
20140116,UNH,UNITEDHEALTH GROUP INC,N,72.76,8893600,1006758,1,1,-0.001347
20140117,UNH,UNITEDHEALTH GROUP INC,N,72.52,5555300,1006758,1,1,-0.003895
20140121,UNH,UNITEDHEALTH GROUP INC,N,73.16,6379400,1006758,1,1,0.002774
20140122,UNH,UNITEDHEALTH GROUP INC,N,73.4,4920200,1006758,1,1,0.000575
20140123,UNH,UNITEDHEALTH GROUP INC,N,73.2,5050600,1006758,1,1,-0.00889
20140124,UNH,UNITEDHEALTH GROUP INC,N,71.6,5643800,1006758,1,1,-0.020875
20140127,UNH,UNITEDHEALTH GROUP INC,N,71.65,4233600,1006758,1,1,-0.004876
20140128,UNH,UNITEDHEALTH GROUP INC,N,71.71,2933100,1006758,1,1,0.006141
20140129,UNH,UNITEDHEALTH GROUP INC,N,71.26,6005100,1006758,1,1,-0.010209
20140130,UNH,UNITEDHEALTH GROUP INC,N,72.8,4254000,1006758,1,1,0.011267
20140131,UNH,UNITEDHEALTH GROUP INC,N,72.28,4291500,1006758,1,1,-0.006465
20140203,UNH,UNITEDHEALTH GROUP INC,N,70.74,4532700,1006758,1,1,-0.022832
20140204,UNH,UNITEDHEALTH GROUP INC,N,70.51,4646100,1006758,1,1,0.007641
20140205,UNH,UNITEDHEALTH GROUP INC,N,70.82,4394300,1006758,1,1,-0.002028
20140206,UNH,UNITEDHEALTH GROUP INC,N,70.87,4765600,1006758,1,1,0.01244
20140207,UNH,UNITEDHEALTH GROUP INC,N,71.36,6954900,1006758,1,1,0.013302
20140210,UNH,UNITEDHEALTH GROUP INC,N,69.74,7778800,1006758,1,1,0.001569
20140211,UNH,UNITEDHEALTH GROUP INC,N,70.62,5547400,1006758,1,1,0.011062
20140212,UNH,UNITEDHEALTH GROUP INC,N,70.24,4120600,1006758,1,1,-0.000269
20140213,UNH,UNITEDHEALTH GROUP INC,N,71.21,3788000,1006758,1,1,0.00581
