PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
12490,20150227,IBM,N,7379,161.94,776569,0.063466,988424,1,1
12490,20150331,IBM,N,7379,160.5,1049118,-0.008892,988424,1,1
12490,20150430,IBM,N,7379,171.28999,938360,0.067227,984734,1,1
12490,20150529,IBM,N,7379,169.64999,579297,-0.001985,984734,1,1
12490,20150630,IBM,N,7379,162.66,808482,-0.041202,984734,1,1
12490,20150731,IBM,N,7379,161.99001,938547,-0.004119,979530,1,1
12490,20150831,IBM,N,7379,147.89,937925,-0.079017,979530,1,1
12490,20150930,IBM,N,7379,144.97,818132,-0.019744,979530,1,1
12490,20151030,IBM,N,7379,140.08,1206295,-0.033731,970110,1,1
12490,20151130,IBM,N,7379,139.42,854370,0.004569,970110,1,1
12490,20151231,IBM,N,7379,137.62,976807,-0.012911,970110,1,1
12490,20160129,IBM,N,7379,124.79,1262330,-0.093228,970110,1,1
12490,20160229,IBM,N,7379,131.03,1067160,0.060421,960881,1,1
12490,20160331,IBM,N,7379,151.45,1057471,0.155842,960881,1,1
12490,20160429,IBM,N,7379,145.94,944824,-0.036382,959962,1,1
12490,20160531,IBM,N,7379,153.74001,752518,0.06304,959962,1,1
12490,20160630,IBM,N,7379,151.78,771224,-0.012749,959962,1,1
12490,20160729,IBM,N,7379,160.62,699551,0.058242,955844,1,1
12490,20160831,IBM,N,7379,158.88,697066,-0.002117,955844,1,1
12490,20160930,IBM,N,7379,158.85001,699538,-0.000189,955844,1,1
12490,20161031,IBM,N,7379,153.69,783272,-0.032483,950855,1,1
12490,20161130,IBM,N,7379,162.22,763424,0.064611,950855,1,1
12490,20161230,IBM,N,7379,165.99001,694702,0.02324,950855,1,1
12490,20170131,IBM,N,7379,174.52,887649,0.051389,950855,1,1
12490,20170228,IBM,N,7379,179.82001,598208,0.038391,943213,1,1
12490,20170331,IBM,N,7379,174.14,794801,-0.031587,943213,1,1
12490,20170428,IBM,N,7379,160.28999,1000534,-0.079534,939497,1,1
12490,20170531,IBM,N,7379,152.63,1033309,-0.03843,939497,1,1
12490,20170630,IBM,N,7379,153.83,839782,0.007862,939497,1,1
12490,20170731,IBM,N,7379,144.67,932936,-0.059546,931940,1,1
12490,20170831,IBM,N,7379,143.03,802954,-0.000968,931940,1,1
12490,20170929,IBM,N,7379,145.08,782981,0.014333,931940,1,1
12490,20171031,IBM,N,7379,154.06,1253457,0.061897,925791,1,1
12490,20171130,IBM,N,7379,153.97,897761,0.009152,925791,1,1
12490,20171229,IBM,N,7379,153.42,887885,-0.003572,925791,1,1
13407,20130131,FB,Q,9999,30.981,16750772,0.163837,1684185,1,1
13407,20130228,FB,Q,9999,27.25,9561095,-0.120429,1684185,1,1
13407,20130328,FB,Q,9999,25.58,7250988,-0.061284,1740598,1,1
13407,20130430,FB,Q,9999,27.769,7360009,0.085575,1749622,1,1
13407,20130531,FB,Q,9999,24.348,9790374,-0.123195,1749622,1,1
13407,20130628,FB,Q,9999,24.88,7873068,0.02185,1813000,1,1
13407,20130731,FB,Q,9999,36.8,14332197,0.4791,1817515,1,1
13407,20130830,FB,Q,9999,41.294,13413120,0.12212,1817515,1,1
13407,20130930,FB,Q,9999,50.23,15816545,0.2164,1869000,1,1
13407,20131031,FB,Q,9999,50.205,20317557,-0.000498,1874048,1,1
13407,20131129,FB,Q,9999,47.01,13568214,-0.063639,1874048,1,1
13407,20131231,FB,Q,9999,54.649,15115844,0.162497,1970000,1,1
13407,20140131,FB,Q,9999,62.57,12975807,0.144943,1975722,1,1
13407,20140228,FB,Q,9999,68.46,11162715,0.094135,1989640,1,1
13407,20140331,FB,Q,9999,60.24,12568600,-0.12007,1991000,1,1
13407,20140430,FB,Q,9999,59.78,18855440,-0.007636,1993730,1,1
13407,20140530,FB,Q,9999,63.3,11206951,0.058883,1993730,1,1
13407,20140630,FB,Q,9999,67.29,8639070,0.063033,2013000,1,1
13407,20140731,FB,Q,9999,72.65,10298628,0.079655,2015048,1,1
13407,20140829,FB,Q,9999,74.82,5908508,0.029869,2015048,1,1
13407,20140930,FB,Q,9999,79.04,7211135,0.056402,2044000,1,1
13407,20141031,FB,Q,9999,74.99,10841801,-0.05124,2223936,1,1
13407,20141128,FB,Q,9999,77.7,4910448,0.036138,2223936,1,1
13407,20141231,FB,Q,9999,78.02,5353898,0.004118,2221000,1,1
13407,20150130,FB,Q,9999,75.91,5466315,-0.027044,2236334,1,1
13407,20150227,FB,Q,9999,78.97,4753752,0.040311,2236334,1,1
13407,20150331,FB,Q,9999,82.215,5753672,0.041091,2246824,1,1
13407,20150430,FB,Q,9999,78.77,5421261,-0.041902,2248897,1,1
13407,20150529,FB,Q,9999,79.19,4218729,0.005332,2248897,1,1
13407,20150630,FB,Q,9999,85.765,5379579,0.083028,2246000,1,1
13407,20150731,FB,Q,9999,94.01,7908962,0.096135,2259737,1,1
13407,20150831,FB,Q,9999,89.43,7100057,-0.048718,2259737,1,1
13407,20150930,FB,Q,9999,89.9,6354575,0.005256,2259000,1,1
13407,20151030,FB,Q,9999,101.97,5722128,0.13426,2259000,1,1
13407,20151130,FB,Q,9999,104.24,5472607,0.022261,2270457,1,1
13407,20151231,FB,Q,9999,104.66,4405192,0.004029,2294940,1,1
13407,20160129,FB,Q,9999,112.21,7933283,0.072138,2294940,1,1
13407,20160229,FB,Q,9999,106.92,8743840,-0.047144,2294940,1,1
13407,20160331,FB,Q,9999,114.1,5216572,0.067153,2311053,1,1
13407,20160429,FB,Q,9999,117.58,7416712,0.0305,2311865,1,1
13407,20160531,FB,Q,9999,118.81,4605912,0.010461,2311865,1,1
13407,20160630,FB,Q,9999,114.28,4525374,-0.038128,2316000,1,1
13407,20160729,FB,Q,9999,123.94,4702790,0.084529,2322959,1,1
13407,20160831,FB,Q,9999,126.12,3656748,0.017589,2322959,1,1
13407,20160930,FB,Q,9999,128.27,3766215,0.017047,2331000,1,1
13407,20161031,FB,Q,9999,130.99001,3132689,0.021205,2340825,1,1
13407,20161130,FB,Q,9999,118.42,6547730,-0.095962,2340825,1,1
13407,20161230,FB,Q,9999,115.05,4087446,-0.028458,2354000,1,1
13407,20170131,FB,Q,9999,130.32001,3790239,0.132725,2355168,1,1
13407,20170228,FB,Q,9999,135.53999,3852020,0.040055,2355168,1,1
13407,20170331,FB,Q,9999,142.05,3421675,0.04803,2364340,1,1
13407,20170428,FB,Q,9999,150.25,2759543,0.057726,2364340,1,1
13407,20170531,FB,Q,9999,151.46001,4037430,0.008053,2364783,1,1
13407,20170630,FB,Q,9999,150.98,4151595,-0.003169,2369000,1,1
13407,20170731,FB,Q,9999,169.25,4204353,0.121009,2370333,1,1
13407,20170831,FB,Q,9999,171.97,3038047,0.016071,2370333,1,1
13407,20170929,FB,Q,9999,170.87,3048396,-0.006396,2385000,1,1
13407,20171031,FB,Q,9999,180.06,3185419,0.053784,2384798,1,1
13407,20171130,FB,Q,9999,177.17999,3512387,-0.015995,2384798,1,1
13407,20171229,FB,Q,9999,176.46001,3172068,-0.004064,2397000,1,1
14593,20130131,AAPL,Q,3571,455.48999,4864029,-0.144094,939058,7,7
14593,20130228,AAPL,Q,3571,441.39999,3474204,-0.025116,939058,7,7
14593,20130328,AAPL,Q,3571,442.66,3418252,0.002855,940094,7,7
14593,20130430,AAPL,Q,3571,442.78,4103155,0.000271,938649,7,7
14593,20130531,AAPL,Q,3571,449.73499,3507527,0.022596,938649,7,7
